Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Mode of transportation,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",12,Algeria,2019,0,2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",12,Algeria,2019,"8,450,800,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,RAI,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",12,Algeria,2019,"25,641,745",2019,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2017,"1,003,452,567",2017,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2018,"2,772,871,928",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2018,"320,774,583,515",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,ROA,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2018,"1,164,208,831",2018,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2018,"85,782,904,123",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,RAI,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2019,"409,643,600,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,ROA,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2019,"21,197,800,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2019,"105,831,400,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,RAI,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",13,Central America,2019,"1,191,556,091",2024,,,,,ICAO,,,AIR,G,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2017,"2,678,186,110",2017,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2018,"2,722,921,226",2018,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2018,"20,342,869,821",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,RAI,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2018,"82,850,889,450",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,ROA,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2018,"3,602,811,898",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2019,"2,393,400,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2019,"153,766,600,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,ROA,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2019,"52,015,400,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,RAI,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",14,Eastern Africa,2019,"3,090,159,476",2025,,,,,ICAO,,,AIR,G,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2017,"525,617,626",2017,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2018,"576,851,593",2018,,,,,ICAO,,,AIR,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2018,"22,764,335,562",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,RAI,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2018,"110,657,082,088",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,ROA,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2018,"16,541,998,125",2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,C,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2019,"5,674,600,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,IWW,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",15,Northern Africa,2019,"185,706,400,000",2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,ROA,M,G,T_KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
